year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1996,PRK,AUS,ALL,482490.72,0.00%
1996,PRK,NZL,ALL,4084.98,0.00%
1996,PRK,PYF,ALL,281807.65,0.00%
1996,PRK,BOL,ALL,448635.66,0.00%
1996,PRK,BRA,ALL,3135928.91,0.01%
1996,PRK,CHL,ALL,479307.05,0.00%
1996,PRK,COL,ALL,3440221.78,0.01%
1996,PRK,ECU,ALL,23961796.66,0.07%
1996,PRK,PER,ALL,1685989.98,0.00%
1996,PRK,SUR,ALL,2750121.51,0.01%
1996,PRK,URY,ALL,397684.36,0.00%
1996,PRK,VEN,ALL,3457741.1,0.01%
1997,PRK,BFA,ALL,218335.84,0.00%
1997,PRK,CAF,ALL,167318.18,0.00%
1997,PRK,CIV,ALL,119240.28,0.00%
1997,PRK,CMR,ALL,184486.4,0.00%
1997,PRK,DZA,ALL,2131450,0.01%
1997,PRK,EGY,ALL,50271.31,0.00%
1997,PRK,ETH,ALL,2826772.99,0.01%
1997,PRK,GAB,ALL,409525.01,0.00%
1997,PRK,GHA,ALL,6049019.84,0.02%
1997,PRK,GIN,ALL,292672.76,0.00%
1997,PRK,GMB,ALL,210458.07,0.00%
1997,PRK,KEN,ALL,51494,0.00%
1997,PRK,MDG,ALL,306020.83,0.00%
1997,PRK,MLI,ALL,211223.97,0.00%
1997,PRK,MUS,ALL,707128.85,0.00%
1997,PRK,NER,ALL,33743.3,0.00%
1997,PRK,NGA,ALL,488735.12,0.00%
1997,PRK,SDN,ALL,733665.83,0.00%
1997,PRK,SEN,ALL,109990.35,0.00%
1997,PRK,TGO,ALL,270162.2,0.00%
1997,PRK,TUN,ALL,1696625.18,0.00%
1997,PRK,TZA,ALL,267330.2,0.00%
1997,PRK,UGA,ALL,322290.4,0.00%
1997,PRK,ZAF,ALL,2424829,0.01%
1997,PRK,AZE,ALL,7159,0.00%
1997,PRK,BGD,ALL,43717006.42,0.13%
1997,PRK,BRN,ALL,299924.6,0.00%
1997,PRK,CHN,ALL,108174875.4,0.31%
1997,PRK,GEO,ALL,1160311,0.00%
1997,PRK,HKG,ALL,173010976.4,0.50%
1997,PRK,IDN,ALL,7141719.74,0.02%
1997,PRK,IND,ALL,53204514.59,0.15%
1997,PRK,IRN,ALL,1097288.62,0.00%
1997,PRK,JPN,ALL,290201956.3,0.83%
1997,PRK,KOR,ALL,331839.95,0.00%
1997,PRK,LBN,ALL,82924479.03,0.24%
1997,PRK,MAC,ALL,5178541,0.02%
1997,PRK,MDV,ALL,310211.6,0.00%
1997,PRK,MNG,ALL,14277.59,0.00%
1997,PRK,MYS,ALL,270087.38,0.00%
1997,PRK,SGP,ALL,2975449.65,0.01%
1997,PRK,THA,ALL,9348539.39,0.03%
1997,PRK,ALB,ALL,34624,0.00%
1997,PRK,AND,ALL,55795.77,0.00%
1997,PRK,AUT,ALL,1571092.13,0.00%
1997,PRK,BGR,ALL,3377673.65,0.01%
1997,PRK,BLX,ALL,762848.51,0.00%
1997,PRK,CHE,ALL,653136.28,0.00%
1997,PRK,CZE,ALL,1033552.24,0.00%
1997,PRK,DEU,ALL,43354292.32,0.12%
1997,PRK,DNK,ALL,900801.64,0.00%
1997,PRK,ESP,ALL,10342328.85,0.03%
1997,PRK,EST,ALL,31051.89,0.00%
1997,PRK,FIN,ALL,65921,0.00%
1997,PRK,FRA,ALL,25171894.39,0.07%
1997,PRK,GBR,ALL,724235.88,0.00%
1997,PRK,GRC,ALL,301059.13,0.00%
1997,PRK,HRV,ALL,318876.67,0.00%
1997,PRK,HUN,ALL,182791.95,0.00%
1997,PRK,IRL,ALL,2766382.5,0.01%
1997,PRK,ITA,ALL,1336677.83,0.00%
1997,PRK,LTU,ALL,245372.72,0.00%
1997,PRK,LVA,ALL,811670.13,0.00%
1997,PRK,MKD,ALL,20187,0.00%
1997,PRK,NLD,ALL,3569425.47,0.01%
1997,PRK,NOR,ALL,155877.81,0.00%
1997,PRK,POL,ALL,6391657.71,0.02%
1997,PRK,PRT,ALL,10983.22,0.00%
1997,PRK,ROU,ALL,128879.55,0.00%
1997,PRK,RUS,ALL,16914836.17,0.05%
1997,PRK,SVK,ALL,753118.39,0.00%
1997,PRK,SVN,ALL,4358154.63,0.01%
1997,PRK,SWE,ALL,66992.88,0.00%
1997,PRK,UKR,ALL,2277407.09,0.01%
1997,PRK,YUG,ALL,78000,0.00%
1997,PRK,BHS,ALL,86815.18,0.00%
1997,PRK,BRB,ALL,14005.61,0.00%
1997,PRK,CAN,ALL,86511.43,0.00%
1997,PRK,CRI,ALL,4112871.38,0.01%
1997,PRK,GRD,ALL,46985,0.00%
1997,PRK,GRL,ALL,2806,0.00%
1997,PRK,GTM,ALL,1604364.5,0.00%
1997,PRK,HND,ALL,6773628.1,0.02%
1997,PRK,JAM,ALL,1860126.73,0.01%
1997,PRK,KNA,ALL,41868.48,0.00%
1997,PRK,LCA,ALL,354100.24,0.00%
1997,PRK,MEX,ALL,240946420.5,0.69%
1997,PRK,NIC,ALL,6161858.01,0.02%
1997,PRK,TTO,ALL,1682899.23,0.00%
1997,PRK,AUS,ALL,1315286.34,0.00%
1997,PRK,NZL,ALL,1363.11,0.00%
1997,PRK,PYF,ALL,80680.31,0.00%
1997,PRK,BOL,ALL,658686.46,0.00%
1997,PRK,BRA,ALL,33715868.28,0.10%
1997,PRK,CHL,ALL,321907.93,0.00%
1997,PRK,COL,ALL,3964397.86,0.01%
1997,PRK,ECU,ALL,149970.94,0.00%
1997,PRK,GUY,ALL,41545.47,0.00%
1997,PRK,PER,ALL,1130928.59,0.00%
1997,PRK,URY,ALL,705858.96,0.00%
1997,PRK,VEN,ALL,44057.91,0.00%
1998,PRK,BEN,ALL,2892637.48,0.01%
1998,PRK,BFA,ALL,1498090.16,0.00%
1998,PRK,CAF,ALL,46335.68,0.00%
1998,PRK,CIV,ALL,216750.68,0.00%
1998,PRK,CMR,ALL,162192.82,0.00%
1998,PRK,CPV,ALL,26896.54,0.00%
1998,PRK,DZA,ALL,3190483,0.01%
1998,PRK,EGY,ALL,637530,0.00%
1998,PRK,ETH,ALL,3299966.93,0.01%
1998,PRK,GAB,ALL,207276.84,0.00%
1998,PRK,GHA,ALL,3945873.72,0.01%
1998,PRK,GMB,ALL,63624.08,0.00%
1998,PRK,KEN,ALL,91202.03,0.00%
1998,PRK,MDG,ALL,206030.27,0.00%
1998,PRK,MLI,ALL,189880.95,0.00%
1998,PRK,MUS,ALL,1198572.73,0.00%
1998,PRK,NER,ALL,59927.19,0.00%
1998,PRK,NGA,ALL,650856.64,0.00%
1998,PRK,SDN,ALL,1033350.54,0.00%
1998,PRK,SEN,ALL,147178.61,0.00%
1998,PRK,TGO,ALL,1455159.52,0.00%
1998,PRK,TUN,ALL,2070900.47,0.01%
1998,PRK,TZA,ALL,192131.59,0.00%
1998,PRK,UGA,ALL,218952.14,0.00%
1998,PRK,ZAF,ALL,2040949,0.01%
1998,PRK,ZMB,ALL,226382.82,0.00%
1998,PRK,AZE,ALL,129125.14,0.00%
1998,PRK,BGD,ALL,24240422.94,0.07%
1998,PRK,BRN,ALL,2462066.94,0.01%
1998,PRK,CHN,ALL,49851196.57,0.14%
1998,PRK,GEO,ALL,356274,0.00%
1998,PRK,HKG,ALL,41766532.28,0.12%
1998,PRK,IDN,ALL,3794490.89,0.01%
1998,PRK,IND,ALL,31646551.09,0.09%
1998,PRK,IRN,ALL,157230.59,0.00%
1998,PRK,JPN,ALL,211338449.4,0.61%
1998,PRK,KOR,ALL,837864.84,0.00%
1998,PRK,LBN,ALL,38609047.19,0.11%
1998,PRK,MAC,ALL,6682409.52,0.02%
1998,PRK,MDV,ALL,182324.4,0.00%
1998,PRK,MNG,ALL,54915.22,0.00%
1998,PRK,MYS,ALL,27685.15,0.00%
1998,PRK,OMN,ALL,13555,0.00%
1998,PRK,SAU,ALL,42724911.36,0.12%
1998,PRK,SGP,ALL,1999585.75,0.01%
1998,PRK,THA,ALL,1277146.71,0.00%
1998,PRK,TUR,ALL,1712432.34,0.00%
1998,PRK,ALB,ALL,87993,0.00%
1998,PRK,AND,ALL,192884.22,0.00%
1998,PRK,AUT,ALL,2807685.64,0.01%
1998,PRK,BGR,ALL,2233624.75,0.01%
1998,PRK,BLR,ALL,3070273.52,0.01%
1998,PRK,BLX,ALL,2014848.68,0.01%
1998,PRK,CHE,ALL,856188.57,0.00%
1998,PRK,CZE,ALL,625188.71,0.00%
1998,PRK,DEU,ALL,29623390.32,0.09%
1998,PRK,DNK,ALL,1547625.28,0.00%
1998,PRK,ESP,ALL,7339237.24,0.02%
1998,PRK,EST,ALL,148577.4,0.00%
1998,PRK,FIN,ALL,49633.96,0.00%
1998,PRK,FRA,ALL,15874261.09,0.05%
1998,PRK,GBR,ALL,1175696.76,0.00%
1998,PRK,GRC,ALL,43359609.68,0.12%
1998,PRK,HRV,ALL,324911.28,0.00%
1998,PRK,HUN,ALL,553122.13,0.00%
1998,PRK,IRL,ALL,11000526.24,0.03%
1998,PRK,ITA,ALL,1411094.57,0.00%
1998,PRK,LTU,ALL,230012.22,0.00%
1998,PRK,LVA,ALL,16262,0.00%
1998,PRK,MDA,ALL,120681,0.00%
1998,PRK,MKD,ALL,23820.28,0.00%
1998,PRK,NLD,ALL,4009683.52,0.01%
1998,PRK,NOR,ALL,4884,0.00%
1998,PRK,POL,ALL,10227912.81,0.03%
1998,PRK,PRT,ALL,68877.1,0.00%
1998,PRK,ROU,ALL,366593.17,0.00%
1998,PRK,RUS,ALL,8275783.17,0.02%
1998,PRK,SVK,ALL,816962.57,0.00%
1998,PRK,SVN,ALL,4405859.01,0.01%
1998,PRK,SWE,ALL,318987.88,0.00%
1998,PRK,UKR,ALL,12437023.21,0.04%
1998,PRK,YUG,ALL,73958.53,0.00%
1998,PRK,BHS,ALL,35504.42,0.00%
1998,PRK,BRB,ALL,54665.17,0.00%
1998,PRK,CAN,ALL,343905.08,0.00%
1998,PRK,CRI,ALL,5211472.31,0.02%
1998,PRK,GRL,ALL,5932.18,0.00%
